Model,Recall,F1-Score,AUC,Accuracy,Precision,Train/Val Diff
ResNet50,0.8181818181818182,0.7407407407407407,0.8086713286713288,0.7375,0.6766917293233082,0.06027270751847025
EfficientNetB0,0.8090909090909091,0.7416666666666667,0.8127272727272729,0.7416666666666667,0.6846153846153846,0.04986962190352018
MobileNetV3Small,0.7272727272727273,0.7142857142857143,0.8229370629370629,0.7333333333333333,0.7017543859649122,0.02111174489352452
