Model,Recall,F1-Score,AUC,Accuracy,Precision
XGBoost,0.8636363636363636,0.8636363636363636,0.9534965034965035,0.875,0.8636363636363636
Random Forest,0.8090909090909091,0.827906976744186,0.9275524475524475,0.8458333333333333,0.8476190476190476
Logistic Regression,0.7090909090909091,0.6666666666666666,0.7339860139860142,0.675,0.6290322580645161
Decision Tree,0.6636363636363637,0.7053140096618358,0.7367832167832168,0.7458333333333333,0.7525773195876289
