Model,Recall,F1-Score,AUC,Accuracy,Precision,Train/Val Diff
Attention MLP,0.9272727272727272,0.9272727272727272,0.987972027972028,0.9333333333333333,0.9272727272727272,0.04178210560625817
1D-CNN,0.9181818181818182,0.9099099099099099,0.9667132867132867,0.9166666666666666,0.9017857142857143,0.14223435462842238
MLP,0.9090909090909091,0.9174311926605505,0.9825874125874127,0.925,0.9259259259259259,0.06267655367231639
